Describe the main red herring (if present),How satisfying is this story as a piece of detective fiction?,Plot Summary (25-50 words),Assistant #1 Role,Of what type is the essential clue (if present)?,Story Code,Presence of planted or fabricated evidence,When do(es) the crime(s)/mystery being investigated occur?,In what order are the investigation and reveal portions provided?,"More Than Two Assistants? (If yes, enter total number)","What is the ""reveal border"" sentence?",Are one or more culprits introduced into the story only during the reveal?,Of what type is the main red herring (if present)?,Name of Detective #2,Types of evidence made available in the story,"More Than Two Detectives? (If yes, enter total number)",Detective #1 Role,Of what type is the most salient clue (if clues are present)?,Would you recommend this story to a friend?,Annotator #1 Code,Number of culprits of gender Unknown,Types of crimes or quasi-crimes present in story,Does the story provide sufficient clues in sufficient detail to allow an alert reader to correctly guess the solution before the reveal?,Annotator #2 Code,Did either annotator personally correctly guess the solution to the crime before the reveal?,Name of Assistant #1,Assistant #2 Role,Number of culprits of gender Non-binary,Types of clues,Number of culprits of gender Female,Name of Assistant #2,Author Code,Story Name,Detective #2 Gender,What is the essential clue in the story (if present)?,Number of culprits of gender Male,The main culprit,Number of victims of gender Female,Detective #1 Gender,"Does the detective pointedly and independently decide NOT to alert the authorities to the facts of the crime, despite the fact that an actionable crime has been committed?",Do you receive a satisfying narrative of account of the crime(s) in all their relevant details and a summary of the process by which the crime(s) are solved?,Is the crime solved?,Who initiates the detective's investigation?,What is the role of the police force in solving the crime?,Second author code (if applicable),Means (murder only),What is the most salient clue in the story (if clues are present)?,Does the story provide sufficient clues in sufficient detail to allow an alert reader to definitively solve the crime before the reveal?,Crime trajectory,Assistant #2 Gender,Motives,Detective #2 Role,Number of victims of gender Male,Assistant #1 Gender,The story's main action focuses on a,Name of Detective #1,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book,Surname(s),Given Name(s),Sex,publication_year,crime_trajectory
NA,3,"When history between the son of a wealthy lawyer and the daughter of a bank manager becomes intertwined, a plot for revenge is devised! Thorpe Hazell is called upon to prevent the Bank from being robbed!",NA,Testimonial clue,TSOTR05,NA,During the investigation,Standard,NA,"There was a dead silence, broken only by the rustle and crackling of roll after roll of Bank of England notes as the cashier counted them out and Kinch checked them, with a snarling expression on his face.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,CC,0,"Theft, Fraud, Assault",Yes,MS,Yes,NA,NA,0,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",0,NA,VW,How the Bank Was Saved,NA,The history of Kinch and Mr.Crosbie,4,Acts mostly alone with some assistance,0,Male,No,Yes,Yes,A private client,Police are not present,NA,NA,"Passenger insisted that the two men were not carrying any bag with them, and the old clergyman said they were.",Yes,Qrime → same qrime,NA,"Greed, Revenge",NA,1,NA,Crime,Thorpe Hazell,1905-03-26 00:00:00+00:00,Book,Thrilling Stories of the Railway,Whitechurch,Victor,M,1905,Qrime_to_same_qrime
NA,3,"A man is found dead on a train, and police suspect the death to be nothing more than a mere accident. However, railway expert Thorpe Hazell disregards this assumption, and discovers that there was much more to this case than meets the eye!",NA,Physical clue,TSOTR02,NA,Before the investigation,Standard,NA,"Hazell locked the door very quietly on the inside, and came up to the head of the bed.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,CC,0,Murder,No,MS,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,VW,The Tragedy on the London and Mid-northern,NA,The bicycle tracks preserved in the frost,4,Acts mostly alone with some assistance,2,Male,Yes,Yes,Yes,The detective(s) themselves,Police are not present,NA,"Indirectly, by an elaborate device",The victim being a foreigner,No,No qrime → qrime,NA,"Revenge, Self-defence",NA,3,NA,Crime,Thorpe Hazell,1905-03-26 00:00:00+00:00,Book,Thrilling Stories of the Railway,Whitechurch,Victor,M,1905,No_qrime_to_qrime
NA,2,A  detective is appointed by a special office colonel with the task of preventing an official informant from being arrested by Russian agents! This requires a ruse like no other to allow the informant to flee!,Unclear,Physical clue,TSOTR15,NA,"Before the investigation, During the investigation",Other,NA,NA,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Unclear,Physical clue,No,SO,0,Theft,NA,CC,NA,_unknown,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",0,NA,VW,The Ruse That Succeeded,NA,The gimlet,1,Acts mostly alone with some assistance,0,Male,Yes,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,The gimlet,NA,Qrime → same qrime,NA,NA,NA,0,Male,Quasi-crime,Brett,1905-03-26 00:00:00+00:00,Book,Thrilling Stories of the Railway,Whitechurch,Victor,M,1905,Qrime_to_same_qrime
NA,3,"Two childhood best friends who appear to be polar opposites live together, but lead separate lives. When one of them is about to be engaged with a young woman, he suddenly goes missing, and the woman finds comfort in his old friend, and they become engaged; however, things are not as they seem, when information appears to her in her dreams!",NA,Testimonial clue,IZ02,Fabricated,"Before the investigation, During the investigation",Standard,NA,When you all read this I shall be dead and laughing at you.,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Unclear,Testimonial clue,Yes,SO,0,"Suspected murder, Theft, Fraud",Yes,CC,Yes,NA,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,IZ,Cheating the Gallows,NA,The fact that Clara fell in love with both individuals,1,Acts alone,1,Unknown,No,Yes,Yes,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Asphyxiation, Suicide",The men never being in the same place at the same time,No,No qrime → qrime,NA,Greed,NA,1,NA,Quasi-crime,_None,1905-03-07 00:00:00+00:00,Book,The King of Schnorrers: Grotesques and Fantasies,Zangwill,Israel,M,1905,No_qrime_to_qrime
NA,2,"The French government discovers a set of jewels once thought to be lost. However, their auction (possibly to subsidize their budget for the year?) goes lopsided when an American duo intervene! Can Detective Eugène Valmont overcome the incompetence of his fellow officers to solve this case?",NA,Testimonial clue,TEV01,Planted,During the investigation,Standard,NA,"DEAR SIR,--On my arrival in New York by the English steamer _Lucania_, I was much amused to read in the papers accounts of the exploits of detectives, French and English.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,Testimonial clue,No,SO,0,"Theft, Fraud, Bribery, Assault, Forgery",No,CC,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,RB,The Mystery of the Five Hundred Diamonds,NA,The secret exit that the culprit used to escape,2,Acts together with one or more equal partners,0,Male,No,Yes,Yes,The detective(s) themselves,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,The suspicious purchasing behaviour by the bidders,No,Qrime → same qrime,NA,"Greed, Pride",NA,2,NA,Crime,Eugène Valmont,1905-03-20 00:00:00+00:00,Book,Triumphs of Eugene Valmont,Barr,Robert,M,1905,Qrime_to_same_qrime
Dacre’s financial situation,3,"Mr. Gibbs is the scion of a pickle manufacturer. But such a scion finds himself losing a significant amount of cash after hosting a dinner party. Is the culprit Lionel Dacre, a guest who is strapped for cash?",Independent amateur,Testimonial clue,TEV03,NA,Before the investigation,Standard,NA,"Excellent! excellent, monsieur! that is very nearly what occurred, except that I acted at once.",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Testimonial clue,No,SO,0,Theft,Yes,CC,No,Lionel Dacre,NA,0,"Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,RB,The Clue of the Silver Spoons,NA,The testimony regarding the silver spoons,1,Acts alone,0,Male,No,Yes,Yes,A private client,Police are not present,NA,NA,The story of the silver spoons,No,Qrime → same qrime,NA,Insanity,NA,1,Male,Crime,Eugène Valmont,1905-03-20 00:00:00+00:00,Book,Triumphs of Eugene Valmont,Barr,Robert,M,1905,Qrime_to_same_qrime
NA,3,An eccentric uncle puts a fortune in the family library for his nephew to find (because leaving behind a mansion wasn’t enough). The treasure hunt is on!,NA,Testimonial clue,TEV04,NA,Before the investigation,Standard,NA,"After breakfast, I strolled somewhat aimlessly into the library, whose floor was now strewn merely with brown wrapping paper, bits of string, and all that.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Physical clue,No,SO,0,Fraud,Yes,CC,Yes,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",0,NA,RB,Lord Chizelrigg's Missing Fortune,NA,The wallpaper being redone,1,Acts alone,0,Male,No,Yes,Yes,A private client,Police are not present,NA,NA,The letter from Lord chizelrigg,No,No qrime → no qrime,NA,Greed,NA,1,NA,Quasi-crime,Eugène Valmont,1905-03-20 00:00:00+00:00,Book,Triumphs of Eugene Valmont,Barr,Robert,M,1905,No_qrime_to_no_qrime
NA,3,"When a man named Doomdorf is found dead, many claim to have murdered him, but the circumstances that have surrounded his death are everything but normal! (TW: racism)",Independent amateur,Physical clue,UAMM01,NA,Before the investigation,Standard,NA,When day broke they dug a grave and buried the dead man against the mountain among his peach trees.,NA,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,CC,0,"Suspected murder, Mischief, Breaking and entering, Trafficking",Yes,MAL,No,Randolph,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,MDP,The Doomdorf Mystery,NA,The time of death from the watch providing an alibi for the only two suspects,1,NA,0,Male,No,Yes,Yes,Unclear/not specified,Police are not present,NA,Accident,The room not having been entered,No,Qrime → no qrime,NA,"Greed, Revenge",NA,1,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,Qrime_to_no_qrime
NA,4,"A man is distraught after his brother is found dead. In the past, many have suspected them to have bad blood, but all that is found is a bloody handprint. When a will surfaces, leaving everything to the surviving brother, more investigation is required!  Did he return from the mountains out of love, or does the will suggest something else? (TW: Suicide)",Unclear,Physical clue,UAMM02,Fabricated,Before the investigation,Standard,NA,He seized the will and the envelope that Gaul had brought from his secretary and held them out before him.,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,Yes,CC,0,"Murder, Fraud, Blackmail, Forgery",Yes,MAL,No,Elnathan Stone,NA,0,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,MDP,The Wrong Hand,NA,The bloody handprint,1,Acts alone,0,Male,Yes,Yes,Yes,A private client,Police are not present,NA,"Knife/sword, Suicide",The will of the brother not including his own children,No,No qrime → qrime,NA,Greed,NA,1,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,No_qrime_to_qrime
NA,2,"Detective Abner’s nephew is sent with money to pay for their cattle, but the man he encounters is all but innocent, when a tale of death unravels and he is caught up in the crossfire.",NA,Physical clue,UAMM03,NA,"Before the investigation, During the investigation",Standard,NA,"""Sit down!"" he said; and it was in that deep, level voice that Abner used when he was standing close behind his words.",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,CC,2,"Murder, Theft",No,MAL,No,NA,NA,0,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,MDP,The Angel of the Lord,NA,The broken moss on the edge of the stones,1,Acts mostly alone with some assistance,0,Male,Yes,Yes,Yes,The detective(s) themselves,Police are not present,NA,Firearm,The relationship between Alkire and dix,No,No qrime → qrime,NA,Greed,NA,3,NA,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,No_qrime_to_qrime
NA,3,"The County Fair endures a grim end when a performer’s knife throwing accidentally slices a deaf man like a fruit. Though a man of dubious character, Abner meant to speak with him about the letter he didn’t believe he wrote.",Independent amateur,Testimonial clue,UAMM04,Fabricated,"Before the investigation, During the investigation",Standard,NA,"""I have found out something about this one.""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,CC,0,"Murder, Forgery",Yes,MAL,No,Randolph,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,MDP,An Act of God,NA,The writing of the letter indicating that whoever wrote it could hear,1,Acts alone,0,Male,Yes,Yes,Yes,The detective(s) themselves,Police are not present,NA,Knife/sword,The letter being investigated as a forgery,No,No qrime → qrime,NA,"Greed, Love",NA,1,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,No_qrime_to_qrime
NA,1,"After Valmont is fired from the French police department, he makes ends meet as a private contractor. Learning of an anglo-French anarchist plot, can Valmont save the king of England?",NA,NA,TEV02_02,NA,"Before the investigation, During the investigation",Other,NA,NA,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Testimonial clue,No,SO,0,"Murder, Mischief, Breaking and entering",No,CC,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",0,NA,RB,The Siamese Twin of a Bomb-Thrower (Part II),NA,NA,1,Acts on behalf of a crime syndicate,0,Male,No,No,Yes,The detective(s) themselves,Police are not present,NA,NA,The anarchist plot,No,Qrime → same qrime,NA,"Ideology, Insanity",NA,5,NA,Crime,Eugène Valmont,NA,NA,NA,Barr,Robert,M,NA,Qrime_to_same_qrime
NA,1,A murder in a park soon leads detective Eugene Velmont on an undercover plot among anarchists who plan to bomb the French!,NA,NA,TEV02_01,NA,"Before the investigation, During the investigation",Other,NA,NA,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Member of the police,Physical clue,No,SO,0,Murder,No,CC,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable)",0,NA,RB,The Siamese Twin of a Bomb-Thrower (Part I),NA,NA,1,Acts alone,1,Male,No,No,No,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Knife/sword,The blue mark on the victim,No,Qrime → same qrime,NA,NA,NA,2,NA,Crime,Eugène Valmont,NA,NA,NA,Barr,Robert,M,NA,Qrime_to_same_qrime
NA,3,"The acclaimed Scotland Yard is faced with a problem of forgers stealing and minting their own silver coinage. Faced with criminal procedure requirements and the rights of citizens, they instead subcontract the investigation to Eugene Valmont. But is there less to the crime than it first appears?",Independent professional (agency),Physical clue,TEV05,NA,"Before the investigation, During the investigation",Standard,NA,"Really, you know,' he said, 'that is rather a capital scheme.",Yes,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Physical clue,No,SO,0,"Theft, Fraud",Yes,MAL,No,Spenser Hale,Independent professional (agency),0,"Illegible and never usable (illegible → never usable), Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",0,Podger,RB,The Absent-Minded Coterie,NA,The Christian pamphlet on absent-mindedness,6,Acts mostly alone with some assistance,0,Male,Yes,Yes,Yes,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Ledger of previous clients/ info,No,Qrime → different qrime,Male,Greed,NA,1,Male,Crime,Eugène Valmont,1905-03-20 00:00:00+00:00,Book,Triumphs of Eugene Valmont,Barr,Robert,M,1905,Qrime_to_different_qrime
NA,4,"When a distraught woman recounts the blackmail and loss of her husband at the hands of his upper-class family, Eugène Valmont suspects there are more than ghosts haunting the former estate. Will Valmont exorcise this ghost? What other crimes haunt this place?",NA,Physical clue,TEV06,NA,"Before the investigation, During the investigation",Standard,NA,"Is that you at last, you beast of a butler? Bring me something to eat, in Heaven's name!'",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Testimonial clue,Yes,SO,0,"Murder, Blackmail, Assault, Kidnapping",Yes,MAL,No,NA,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,RB,The Ghost with the Club-Foot,NA,The Butler wearing slippers that fit the stairs,3,Acts mostly alone with some assistance,1,Male,Yes,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,"Natural causes, Accident, Blunt force trauma",Noises from the 'ghost' and him calling his wife,Yes,Qrime → same qrime,NA,"Pride, Self-defence",NA,4,NA,Crime,Eugène Valmont,1905-03-20 00:00:00+00:00,Book,Triumphs of Eugene Valmont,Barr,Robert,M,1905,Qrime_to_same_qrime
NA,3,"After two months of police faffing about, Lady Alicia’s emeralds are still missing: the insurance of her marriage to a man with millions. Is this a case of greed, or love? Can Valmont recover the emeralds before it’s too late?",NA,Testimonial clue,TEV08,NA,Before the investigation,Standard,NA,"Tenderly the young man unfastened something at the throat of that high-necked dress of hers, then there was a snap, and he drew out an amazing, dazzling, shimmering sheen of green, that seemed to turn the whole bleak December landscape verdant as with a touch of spring.",No,NA,NA,NA,NA,Independent professional (solo),Physical clue,No,SO,0,Theft,No,MAL,No,NA,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",1,NA,RB,Lady Alicia's Emeralds,NA,John Haddon's suspiciously late arrival to the ball,1,Acts together with one or more equal partners,0,Male,Yes,Yes,Yes,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,NA,Haddon's letter proposing the marriage,No,Qrime → no qrime,NA,"Greed, Love",NA,1,NA,Crime,Eugène Valmont,1905-03-20 00:00:00+00:00,Book,Triumphs of Eugene Valmont,Barr,Robert,M,1905,Qrime_to_no_qrime
NA,3,"Eugene Valmont is met with a client who has an unusual request: bribe the guards of a prison ship to save his wrongfully accused son. Though he declines this request, Valment takes up the case involving a great train robbery. But are the culprits who they say they are?",NA,Testimonial clue,TEV07,Fabricated,"Before the investigation, During the investigation",Standard,NA,The convict had been looking from one to the other of us during this colloquy. Suddenly he drew his chair up closer to the table.,No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent professional (solo),Physical clue,No,SO,0,"Murder, Theft, Fraud, Blackmail, Bribery, Breaking and entering",No,MAL,No,NA,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,RB,The Liberation of Wyoming Ed,NA,Evidence of blackmail confirming the third party is the culprit,3,Acts mostly alone with some assistance,0,Male,Yes,Yes,Yes,A private client,Police are not present,NA,"Firearm, Natural causes",The mistaken identity of the 'son',No,Qrime → different qrime,NA,"Greed, Self-defence",NA,4,NA,Crime,Eugène Valmont,1905-03-20 00:00:00+00:00,Book,Triumphs of Eugene Valmont,Barr,Robert,M,1905,Qrime_to_different_qrime
NA,1,"Old MacPherson is an alcoholic and suffers from Cassandra’s Curse. After hearing news Margaret McDonald wishes to marry Campbelll of Glen Lion, MacPherson has visions of a dove and a raven. Though brought in as a witness to the wedding of Campbell and Margaret, can Uncle Abner make sense of these otherworldly visions?",Independent amateur,Physical clue,UAMM15,NA,Before the investigation,Standard,NA,"Campbell,"" he said, ""as I rode the trail on your cattle range, in the mountains, this morning, a bit of white thing caught my eye.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Murder, Fraud",No,SO,No,Rufus,NA,0,"Legible but not usable (legible → not usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,MDP,The Concealed Path,NA,The state of the pasture,1,Acts mostly alone with some assistance,0,Male,No,Yes,Yes,A private client,Police are not present,NA,Firearm,Eliott's role as the driver and Campbell's seat in the passenger side,No,No qrime → qrime,NA,Greed,NA,1,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,No_qrime_to_qrime
Mansfield's confession,4,"(Slavery) A Yankee abolitionist is found dead on a slave plantation from his host’s southern hospitality – offering a duel for listening to this ‘manic ramblings’. While the host confesses to the crime, is he really the killer?",Independent amateur,Physical clue,UAMM16,NA,Before the investigation,Standard,NA,"“I disbelieve it, Randolph,” replied my uncle, “for the convincing reason that I know who killed him.”",No,Testimonial clue,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,"Murder, Theft, Fraud, Breaking and entering",Yes,SO,Yes,Randolph,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,MDP,The Edge of the Shadow,NA,Woman's injured hand,1,Acts alone,0,Male,No,Yes,Yes,Unclear/not specified,Police are not present,NA,"Firearm, Accident",Bullet wound on victim,Yes,Qrime → same qrime,NA,"Ideology, Pride",NA,1,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,Qrime_to_same_qrime
NA,3,"When the sole heir of multiple properties and the guardian of a mysterious girl is suddenly found dead, foul play is immediately suspected. However, to everyone’s surprise, there remains no evidence on his body of murder; instead, a string of the heart has snapped. However, Uncle Abner disagrees with this death. If not by the Providence of God as others agree, how did this man die?",Independent amateur,Physical clue,UAMM17,NA,Before the investigation,Standard,NA,"He paused, and mocked the tragedy of actors.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,Murder,Yes,SO,No,Storm,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,MDP,The Adopted Daughter,NA,The signaling by the girl to the chessboard,1,Acts alone,0,Male,No,Yes,Yes,A private client,Police are not present,NA,Firearm,The beheaded pawn,No,Qrime → same qrime,NA,"Greed, Pride",NA,1,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,Qrime_to_same_qrime
NA,3,"(Sexism) Elihu Marsh is a rich man shot in his house. The prime suspect is Taylor, who hid a loaded rifle in the chimney. But through the investigation, Marsh’s bread-baking-neighbor confesses to poisoning then shooting Marsh! Who is the real killer?",Independent amateur,Physical clue,UAMM18,"Planted, Fabricated","Before the investigation, During the investigation",Other,NA,"""I challenge the confession!"" he said.",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,Murder,No,SO,No,Storm,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,MDP,Naboth's Vineyard,NA,The key of Simon's watch,1,Acts alone,1,Male,No,Yes,Yes,Unclear/not specified,"Police are present but with no role, or only a minor role, in helping solve the crime",NA,Firearm,The body of the victim,No,Qrime → same qrime,NA,Greed,NA,2,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,Qrime_to_same_qrime
NA,3,"(Racism) Betty Randolph is in the uppermost heights of her happiness; with her long-awaited marriage finally approved and her fiancé’s debt absolved, it’s unexpected when she suddenly appears crying in search for Uncle Abner’s help. Her family heirlooms are suddenly gone! Worth five thousand dollars, the girl’s precious emeralds have suddenly disappeared and to make matters worse, her most trusted nanny is the top suspect? Are the suspicions true? Or, otherwise, what’s really happening?",Independent amateur,Physical clue,UAMM10,Fabricated,Before the investigation,Standard,NA,"""Bearing this in mind,"" he said, ""let us analyze the indicatory circumstances.”",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Theft, Fraud",Yes,MAL,No,Randolph,NA,0,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,MDP,The Devil’s Tools,NA,The essential clue is that the cross was left behind,0,Acts alone,1,Male,Yes,Yes,Yes,A private client,Police are not present,NA,NA,Edward Duncan's debt being alleviated as a requirement of their marriage,No,Qrime → no qrime,NA,"Greed, Love",NA,0,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,Qrime_to_no_qrime
NA,2,"A wealthy old man is seemingly robbed while sleeping but he swears nobody came in or left the house. Though he suspects his own family, old folklore and wax found at the scene leads the crew to suspect witches may be at the head of this peculiar robbery.",Independent amateur,Physical clue,UAMM11,NA,Before the investigation,Standard,NA,"""Abner,"" he said, ""what is the answer to this damned riddle?""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Testimonial clue,No,SK,0,"Theft, Breaking and entering",No,MAL,No,Randolph,NA,0,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- newly usable clue (illegible → usable)",1,NA,MDP,The Hidden Law,NA,The cap being removed off the beehives,0,Acts mostly alone with some assistance,0,Male,No,Yes,Yes,A private client,Police are not present,NA,NA,Father's strained relationship with children and their lack of income,No,Qrime → same qrime,NA,"Greed, Love",NA,1,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,Qrime_to_same_qrime
NA,3,"Christian Lance has been killed. Found bound to chair and straining forward, the dead body is discovered in his empty house. However, the mystery is not his death but moreso, what happened to Christian’s money? A mysterious message from beyond the grave tells them to 'look in the cow.'",Independent amateur,Physical clue,UAMM12,Fabricated,Before the investigation,Standard,NA,"You are right, Abner,” he said, “it is Christian’s gold, and this tale a lie.""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,"Murder, Theft, Blackmail, Assault, Breaking and entering",No,MAL,No,Randolph,NA,0,"Illegible and never usable (illegible → never usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",0,NA,MDP,The Riddle,NA,The tallow on the coins,2,Acts together with one or more equal partners,0,Male,No,Yes,Yes,Unclear/not specified,Police are not present,NA,Blunt force trauma,The message left from Christian saying to 'look in the cow',No,Qrime → same qrime,NA,Greed,NA,1,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,Qrime_to_same_qrime
NA,4,"(Racism) An unlocked safe is suddenly broken into, leaving behind a stabbed old man. With blood-stained fingerprints on the wall and and an inheritance at hand, Uncle Abner delves into this case to find the elusive person behind these affairs.",Independent amateur,Physical clue,UAMM13,NA,Before the investigation,Standard,NA,"“Who, then, was the more likely to break it open as evidence of a presumptive robbery?""",No,NA,NA,"Testimonial evidence, Physical evidence",NA,Independent amateur,Physical clue,No,SK,0,"Murder, Theft, Fraud, Assault",Yes,MAL,Yes,Randolph,NA,0,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",0,NA,MDP,The Straw Man,NA,The left-handedness of the culprit,1,Acts alone,0,Male,No,Yes,Yes,A private client,Police are not present,NA,Knife/sword,The fingerprints on the wall,No,Qrime → same qrime,NA,Greed,NA,1,Male,Crime,Abner,1905-04-01 00:00:00+00:00,Book,Uncle Abner: Master of Mysteries,Post,Melville Davisson,M,1905,Qrime_to_same_qrime
